thresh,auprc,auroc
0.75,0.903432515121722,0.9508877976043613
0.8,0.8904535995121526,0.9481223470838842
0.85,0.8659293753528655,0.9421205627017893
0.9,0.8000592757697149,0.9178649610563692
0.925,0.7698678308765258,0.8972446024057711
0.95,0.7213128751752558,0.8565569823867838
0.975,0.6111572722989054,0.8415051607120674
0.99,0.48034397233394965,0.8091106111685915
