auprc,auroc,thresh
0.9580742443844468,0.9716741788752363,0.75
0.9564986989871965,0.9708069175330813,0.8
0.9512076472992052,0.9652684605387524,0.85
0.9397106913251896,0.9531773688563326,0.9
0.9283255629946833,0.9416799681001891,0.925
0.906734636713382,0.9185712429111531,0.95
0.8225856613759245,0.8264785562381853,0.975
0.7376653670728005,0.7339433187618147,0.99
